epoch,train_loss,train_ppl,val_loss,val_ppl
1,7.463612226486206,1743.4343765409963,6.916817465799298,1009.1033727496433
2,7.081704418182373,1189.9950401817262,6.602897521264539,737.2282319602259
3,6.614356676101685,745.7248333807712,6.285213561828979,536.5788711671672
4,6.377164083480835,588.2570919102554,6.087527431556564,440.33131471889453
5,6.169973398208618,478.17338565141876,5.900417401547918,365.1898668730419
6,5.982728635787963,396.52085435213814,5.75289408118425,315.10127061842553
7,5.825052972793579,338.67907337939283,5.646995418228789,283.4385708060337
8,5.694576025009155,297.25073998644507,5.568694834794827,262.0918028105851
9,5.5863969688415525,266.7726956979183,5.509497145121683,247.02687716015052
10,5.4966462688446045,243.87267585826132,5.452293685524763,233.29265268153551
11,5.4229146728515625,226.53844663844117,5.41393098888283,224.51241108481685
12,5.359711954116821,212.66368072856545,5.38550744370786,218.2208107937499
13,5.306575090408325,201.65838258101323,5.357774403851903,212.25203308041682
14,5.2628071441650395,193.0225736852396,5.335750756863349,207.62856888224096
15,5.228883365631104,186.58434066594936,5.321120384353364,204.61299882192105
16,5.202258321762085,181.6820755177769,5.312956558159011,202.94937387466535
17,5.1827507495880125,178.1722447587522,5.307624201860256,201.87005571449654
18,5.169674602508545,175.85760454946995,5.3033018563321965,200.99938660383324
19,5.162366659164428,174.57713164923805,5.299645847046446,200.2658726639041
20,5.158194166183471,173.8502273489398,5.299834457557359,200.3036484748111
