model,types,filter,count,min,max,mean,std,bin_count,shannon_entropy,desequilibrium,complexity
meta-llama/Llama-3.1-70B,embedding-other,0 sigma,69501714432,-126.0,92.5,-2.2159444544282617e-05,0.01519703805187965,27563136,7.158152103424072,0.0008957609534263611,0.006411993152934059
meta-llama/Llama-3.1-70B,embedding-other,1 sigma,54601700247,-0.01519775390625,0.01513671875,-2.5491271318354818e-05,0.007832274114493741,4656,6.962005615234375,0.0008914569625630975,0.006206328379104065
meta-llama/Llama-3.1-70B,embedding-other,2 sigma,68232633357,-0.0303955078125,0.0302734375,-2.5177778997132882e-05,0.011593600412938094,7812,7.136841773986816,0.0007855084841139615,0.00560604976324558
meta-llama/Llama-3.1-70B,embedding-other,3 sigma,69364214152,-0.04541015625,0.04541015625,-2.1834606910191043e-05,0.012337115113118016,11493,7.176723003387451,0.0008008994627743959,0.005747833597893659
meta-llama/Llama-3.1-70B,embedding-other,4 sigma,69463086324,-0.060791015625,0.060546875,-2.239479917583006e-05,0.012478390593334776,15304,7.183387756347656,0.0008202210301533341,0.005891965705502322
meta-llama/Llama-3.1-70B,embedding,0 sigma,1050673152,-0.16796875,0.154296875,-1.3943857321898618e-05,0.00913124605721,13764,6.874648571014404,0.0010255825472995639,0.0070505195932502596
meta-llama/Llama-3.1-70B,embedding,1 sigma,727693134,-0.00909423828125,0.00909423828125,-3.456056363351815e-06,0.0048505959035017865,1052,6.5758819580078125,0.0005085490411147475,0.0033441584642286415
meta-llama/Llama-3.1-70B,embedding,2 sigma,999676782,-0.0181884765625,0.0181884765625,-9.406231669637797e-06,0.007874803447442994,1620,6.774662017822266,0.0005580030265264213,0.0037802819096384166
meta-llama/Llama-3.1-70B,embedding,3 sigma,1046228663,-0.02734375,0.02734375,-1.2464811403040294e-05,0.00892605307497573,2345,6.8581743240356445,0.0006786520825698972,0.004654314287634187
meta-llama/Llama-3.1-70B,embedding,4 sigma,1050394339,-0.036376953125,0.036376953125,-1.3715394978140204e-05,0.00910910449875328,3123,6.875958442687988,0.0007752924575470388,0.00533087871902288
meta-llama/Llama-3.1-70B,norm-embedding-other,0 sigma,69503033344,-126.0,92.5,-1.8818129301335042e-05,0.015230923100420625,27358378,7.157135009765625,0.0008962129941210151,0.006414317396430391
meta-llama/Llama-3.1-70B,norm-embedding-other,1 sigma,54663812439,-0.01519775390625,0.01519775390625,-8.197317441033574e-06,0.007844601641510036,4690,6.963065147399902,0.0008917951490730047,0.0062096277211305395
meta-llama/Llama-3.1-70B,norm-embedding-other,2 sigma,68246253028,-0.0303955078125,0.0303955078125,-1.911671395407757e-05,0.011600388298779591,7768,7.136029243469238,0.0007848911918699741,0.00560100649812556
meta-llama/Llama-3.1-70B,norm-embedding-other,3 sigma,69367767243,-0.045654296875,0.045654296875,-2.18287515800992e-05,0.012341076422098375,11598,7.177938461303711,0.000801256624981761,0.005751370745830986
meta-llama/Llama-3.1-70B,norm-embedding-other,4 sigma,69463492552,-0.060791015625,0.060791015625,-2.2075595207348226e-05,0.012479103579046103,15393,7.183979511260986,0.0008204292971640825,0.00589394726126502
meta-llama/Llama-3.1-70B,norm-embedding,0 sigma,1051992064,-0.16796875,3.359375,0.0002067999268316157,0.012313922085960362,149941,6.88138484954834,0.001089910976588726,0.007500096881654095
meta-llama/Llama-3.1-70B,norm-embedding,1 sigma,868865213,-0.0120849609375,0.01251220703125,9.885837627576366e-05,0.006178077158895406,1229,6.642614364624023,0.0005361901130527258,0.0035617041471334154
meta-llama/Llama-3.1-70B,norm-embedding,2 sigma,1040888426,-0.0244140625,0.0247802734375,2.3823651505043954e-08,0.008753985282758543,2122,6.844038963317871,0.0006417991826310754,0.004392498612552642
meta-llama/Llama-3.1-70B,norm-embedding,3 sigma,1050479397,-0.03662109375,0.037109375,-1.2363971962137858e-05,0.009112405066831615,3141,6.8733696937561035,0.0007797766593284905,0.005359693258126824
meta-llama/Llama-3.1-70B,norm-embedding,4 sigma,1050730608,-0.048828125,0.04931640625,-1.2449713058033472e-05,0.009132497438459128,4214,6.8779296875,0.0008572970982640982,0.0058964291631582455
