epoch,train_loss,train_ppl,val_loss,val_ppl
1,7.469499006271362,1753.727858791183,6.91236600761642,1004.6213743988411
2,7.1525350894927975,1277.3400253898094,6.911545486792833,1003.7973997317412
3,7.091775409698486,1202.0400207794407,6.671304142546511,789.4244554522476
4,6.667650054931641,786.5450932514374,6.318540620518302,554.7627919644134
5,6.443168434143066,628.3946760679424,6.188144930536875,486.94195668947077
6,6.294964399337768,541.8365563095015,6.025873670178259,414.00318630238064
7,6.1265612297058105,457.8589785961605,5.894006157492449,362.8560348873142
8,5.981877540588379,396.1835209282555,5.787932253169442,326.3375428343477
9,5.856003536224366,349.32528479006595,5.692208876581249,296.5479355140173
10,5.746763233184814,313.1753424428186,5.6371419067154385,280.6594202671834
11,5.652286653518677,284.94228572079743,5.5670792271277145,261.6687071547997
12,5.575127408981324,263.7831618399678,5.530012031943499,252.14694482305492
13,5.514128740310669,248.1736593212935,5.496558420672388,243.8512530304255
14,5.4649095993042,236.25449657258594,5.471278303112099,237.76393295923242
15,5.427038503646851,227.47458176578132,5.452302745430769,233.29476630061524
16,5.396960069656372,220.73437811332147,5.441145989994803,230.7064192741496
17,5.376912706375122,216.35329713513337,5.429766271785348,228.09592673948
18,5.3639260787963865,213.56176298018633,5.427085292267942,227.48522523679017
19,5.355981243133545,211.87177210871573,5.424214462463014,226.8330904039466
20,5.3522568111419675,211.08413775831323,5.42270869923209,226.49179049976922
