epoch,train_loss,train_ppl,val_loss,val_ppl,experiment,label
1,7.189754814296574,1325.778103916704,6.454379244430163,635.4791265831236,control,Control
2,6.395257054747163,598.9972785285789,5.959651103101066,387.4749118564034,control,Control
3,6.014289387694367,409.2349281906362,5.712970224835494,302.7690261351117,control,Control
4,5.774533719092339,321.9942599335965,5.571794969169939,262.90558338071384,control,Control
5,5.597487886945208,269.74791829521104,5.477043401049626,239.138624125884,control,Control
6,5.460078240870001,235.11581931186475,5.397572499411936,220.86960381845012,control,Control
7,5.350774982235172,210.77157881784692,5.347055095214753,209.9889888331202,control,Control
8,5.261252766246205,192.7227767181209,5.311830233899607,202.7209157545528,control,Control
9,5.185709605088363,178.7002113884616,5.28652662233263,197.6556988435566,control,Control
10,5.124384235549759,168.07061787036974,5.261296143827236,192.7311367473022,control,Control
11,5.076616902213234,160.23106059687595,5.243275175833909,189.2890431823134,control,Control
12,5.041979238584444,154.77605079876972,5.230908368027021,186.96255721830687,control,Control
13,5.01603588357672,150.8122798427867,5.226432737066731,186.1276515672808,control,Control
14,5.000602202458339,148.5025607880936,5.223691175170232,185.6180699338285,control,Control
15,4.99248849380981,147.30252921297614,5.2234920914463565,185.5811200754273,control,Control
1,7.173940476599511,1304.9767148874864,6.419192357821152,613.5074195115235,gelu2_k1,K=1
2,6.368021918819858,582.9036569910451,5.926958296335375,375.0121015821217,gelu2_k1,K=1
3,6.00320205440769,404.7226648568583,5.712560576616165,302.6450227433061,gelu2_k1,K=1
4,5.779173485644452,323.4917093523192,5.565914114375772,261.3640111443814,gelu2_k1,K=1
5,5.5993471822062215,270.2499258668959,5.466983474182248,236.7449672494703,gelu2_k1,K=1
6,5.4556586506602525,234.07899659211623,5.3962948729769975,220.58759516315465,gelu2_k1,K=1
7,5.341093400617937,208.7408229018838,5.341245877746335,208.77265352979904,gelu2_k1,K=1
8,5.2461072090979695,189.8258758543185,5.295657942302924,199.46882177816303,gelu2_k1,K=1
9,5.167537784957505,175.4822301297385,5.261558297079361,192.7816684648239,gelu2_k1,K=1
10,5.1042023591109205,164.712636586176,5.239946317401556,188.6599743761721,gelu2_k1,K=1
11,5.053945758602359,156.63930762455993,5.223458407561032,185.57486908753964,gelu2_k1,K=1
12,5.017370086330753,151.01362829185422,5.211943667365277,183.4502782138741,gelu2_k1,K=1
13,4.989763945847243,146.90174263617888,5.203218631635916,181.85663040877287,gelu2_k1,K=1
14,4.9746168209956245,144.6933710625753,5.199909332233145,181.2558070708523,gelu2_k1,K=1
15,4.965604810209779,143.3952509637864,5.198741617119979,181.04427545395592,gelu2_k1,K=1
1,7.169555281544779,1299.2666664392498,6.423097236254229,615.9077749004357,gelu10,gelu10
2,6.392060166472322,597.0854087974429,5.963631642075293,389.0203446317051,gelu10,gelu10
3,6.030943788134016,416.1075614982885,5.725609913231976,306.62021995383395,gelu10,gelu10
4,5.798963449098967,329.95736498508097,5.587045886066281,266.945865275528,gelu10,gelu10
5,5.618696304706188,275.5299418961468,5.48480787965146,241.0026380391922,gelu10,gelu10
6,5.473826017770377,238.3704599171803,5.413854174969333,224.4951660702297,gelu10,gelu10
7,5.356478373368423,211.97712615771985,5.349031413254428,210.40440422113505,gelu10,gelu10
8,5.262163345153992,192.8983459363329,5.3133894631478,203.03725069087093,gelu10,gelu10
9,5.184833647606971,178.54374613982682,5.271689279962178,194.7446629905348,gelu10,gelu10
10,5.121650459049465,167.61177783366367,5.250669783655308,190.69394938502217,gelu10,gelu10
11,5.07208289013995,159.50621550355245,5.232555207147173,187.2707081393894,gelu10,gelu10
12,5.0360528805872775,153.86150515150348,5.22311779126119,185.51167002621364,gelu10,gelu10
13,5.009336219562756,149.8052653347833,5.214072531049603,183.84123484808035,gelu10,gelu10
14,4.993721984364055,147.4843375977877,5.212119784407971,183.48258977957977,gelu10,gelu10
15,4.984600088574908,146.14511823566315,5.211606231216755,183.3883859014874,gelu10,gelu10
1,7.163440915849897,1291.3467123275825,6.420448926350772,614.2788181837166,gelu11,gelu11
2,6.39307747020588,597.6931350817631,5.979916227895034,395.4072426708101,gelu11,gelu11
3,6.041574739195131,420.5547778059799,5.75161166520791,314.6974387104096,gelu11,gelu11
4,5.813073100148143,334.64594761432534,5.605293847100887,271.861799499978,gelu11,gelu11
5,5.630844534455718,278.8975567971338,5.499156601234169,244.4856463933924,gelu11,gelu11
6,5.488478139921145,241.8888056846445,5.423247602234983,226.61388050017925,gelu11,gelu11
7,5.373734379862691,215.6667473324636,5.361160310004793,212.97191658643325,gelu11,gelu11
8,5.279986068085357,196.36713956251396,5.325976054492164,205.60894809404635,gelu11,gelu11
9,5.202841266647324,181.7880170304709,5.290562939979258,198.4551122867219,gelu11,gelu11
10,5.140310326060811,170.76875409423218,5.266384595455934,193.71433918154864,gelu11,gelu11
11,5.090735129662208,162.50928354768973,5.24767316483124,190.1233676416278,gelu11,gelu11
12,5.054227111580131,156.68338476052216,5.232095310481784,187.18460276649571,gelu11,gelu11
13,5.029313134623098,152.8280043716282,5.228648917042042,186.5406013580491,gelu11,gelu11
14,5.012101270102121,150.22005766109504,5.226409649499267,186.12335438217423,gelu11,gelu11
15,5.004134273910141,149.02800985913328,5.224794287197749,185.82294043607985,gelu11,gelu11
1,7.171621389322348,1301.9538664704305,6.394220118963657,598.3764787366349,gelu13,gelu13
1,7.172837502234704,1303.5381525188434,6.393544384049498,597.9722714420125,gelu16,gelu16
2,6.353454624141728,574.4738762709696,5.930011649789727,376.1588959712558,gelu16,gelu16
3,5.97653914212466,394.07417071419286,5.6888495176647,295.5533960055524,gelu16,gelu16
4,5.744044351053762,312.3250120981805,5.556670671592605,258.9592391700643,gelu16,gelu16
5,5.572213171959876,263.0155542226275,5.463614711144912,235.9487714050636,gelu16,gelu16
6,5.4341311126084,229.0937051399063,5.395579832180358,220.4299224113234,gelu16,gelu16
7,5.32349281615906,205.0990054890679,5.338382946449424,208.1758065396982,gelu16,gelu16
8,5.232357063731709,187.2336053576197,5.292752177013819,198.890053489218,gelu16,gelu16
9,5.157626981382722,173.7516501007818,5.270301381116568,194.47456457557743,gelu16,gelu16
10,5.097421168328284,163.59946734538386,5.237530966926856,188.20484428810863,gelu16,gelu16
11,5.048671726222996,155.8153615133678,5.226912460938002,186.2169628655093,gelu16,gelu16
12,5.013901152215399,150.49067952660417,5.214124363291517,183.8507639983952,gelu16,gelu16
13,4.988099031038694,146.65736723802144,5.205000318763,182.1809308413116,gelu16,gelu16
14,4.972028917127794,144.31940263383785,5.203071929494338,181.8299536084515,gelu16,gelu16
15,4.964692611198921,143.26450559965758,5.200639352795608,181.38817584716543,gelu16,gelu16
1,7.218576254544558,1364.5449124326965,6.528563222140118,684.4141536219,gelu21,gelu21
2,6.4840948164879855,654.6461210886229,6.054178924983007,425.88907497625473,gelu21,gelu21
3,6.116566421268703,453.30555899790295,5.802596320438014,331.15823762660875,gelu21,gelu21
1,7.181251884578587,1314.5528970814646,6.424144732741602,616.5532741512657,gelu22,gelu22
2,6.393290523525242,597.8204891542742,5.968867384149299,391.06249624216986,gelu22,gelu22
