epoch,train_loss,train_ppl,val_loss,val_ppl
1,7.469501537322998,1753.7322975725663,6.916262824235562,1008.5438372621735
2,7.057683801651001,1161.75120088523,6.57213285583222,714.8929819036232
3,6.61182410812378,743.8386240322833,6.299281380133714,544.1807105114339
4,6.414120210647583,610.403498015469,6.1475401552851325,467.5658316997714
5,6.221081535339356,503.24721744758335,5.952347834238749,384.65538680471735
6,6.0356879234313965,418.08632211103435,5.808563568206605,333.14024857504995
7,5.892060199737549,362.1506189497228,5.714189486018198,303.1384057953843
8,5.772300653457641,321.276027845326,5.638257056938674,280.9725722556504
9,5.665542400360107,288.74455380019685,5.573381652375181,263.32306237029326
10,5.571332290649414,262.78397075030296,5.521348531231909,249.97190492120077
