epoch,train_loss,train_ppl,val_loss,val_ppl
1,7.4652734394073486,1746.3329992025863,6.913235203520267,1005.4949667888488
2,7.133807909011841,1253.6416427388692,6.690682997103937,804.8717895576966
3,6.679026775360107,795.5444916358355,6.3260121573945005,558.9232457597294
4,6.462975847244262,640.9656371185224,6.188282748467908,487.0090706471219
5,6.287273529052734,537.6853453136954,6.019749619718083,411.47555746174993
6,6.098922559738159,445.3776436701864,5.858896228082166,350.3372381260492
7,5.935457221984863,378.2128838900718,5.7334397521561495,309.03043035314073
8,5.792616064071655,327.8696313808723,5.634631877602217,279.95584032387745
9,5.6741100063323975,291.2290311779083,5.563653998460598,260.7739652204009
10,5.574493427276611,263.61598114170164,5.506928990986533,246.39328798963456
11,5.493751266479492,243.16768485255955,5.460008160368411,235.0993428546617
12,5.425520397186279,227.12951312532482,5.423268010944663,226.61850544427034
13,5.370572141647338,214.98583487338055,5.398184831699211,221.00489082421956
14,5.326038843154907,205.62185841025183,5.38192072200204,217.43951545707142
15,5.291170888900757,198.5757995403281,5.359581432799379,212.63592539615536
16,5.263509954452514,193.15827961791732,5.351613351970376,210.948357423131
17,5.244329294204712,189.48868144281658,5.344090645613071,209.36740883530646
18,5.230937719345093,186.96804489632623,5.335755122635892,207.6294753433249
19,5.221940990447998,185.2934881455568,5.337983225633998,208.09261096516542
20,5.2187964038848875,184.71173190332118,5.336015795519252,207.68360577219408
