epoch,train_loss,train_ppl,val_loss,val_ppl
1,7.46866010093689,1752.2572640663561,6.915116860052783,1007.3887441220005
2,7.087871656417847,1197.3567003162132,6.602749528142507,737.1191353255031
3,6.625786045074463,754.2968909438898,6.270119315849807,528.5404373670561
4,6.338367033004761,565.8715070051037,6.010110289179637,407.5282637533543
5,6.102766445159912,447.092918850498,5.838581476382867,343.29202726564847
6,5.920371208190918,372.54998181627514,5.701668078028513,299.36635114026944
7,5.7691977519989015,320.2806850138249,5.606956855979508,272.31428422507946
8,5.6386944160461425,281.0954850456302,5.5271467340206675,251.42550277259195
9,5.5308839702606205,252.36689728434544,5.47220047305444,237.9832928395791
10,5.441470762252807,230.78135848730338,5.414438288797162,224.6263351061064
11,5.366181213378907,214.04391695409913,5.381739568995858,217.4001292027604
12,5.301762432098388,200.69020132183226,5.341872753211838,208.90356901373013
13,5.249510181427002,190.4729484177625,5.325717093987379,205.55571039058844
14,5.20784035873413,182.6990673828563,5.302984778467053,200.9356642504415
15,5.173847681045532,176.59300552036032,5.293030492702644,198.94541541514425
16,5.146398563385009,171.81160614084322,5.277548797972901,195.8891225670877
17,5.127441928863526,168.58531276342805,5.2716035203305545,194.72796247610128
18,5.11452911567688,166.42239683214865,5.2686924180584755,194.16191377467925
19,5.106189409255982,165.0402542431581,5.2659859811474465,193.63713726210884
20,5.103214406967163,164.54998874112977,5.265129306930268,193.4713243530908
