epoch,train_loss,train_ppl,val_loss,val_ppl
1,7.462197376251221,1740.9694221854866,6.913647532320308,1005.9096468083347
2,7.14025737953186,1261.7530967313207,6.7459521624856364,850.6086588680596
3,6.711846395492554,822.0871369768965,6.334561932158327,563.7224002318657
4,6.4485685329437255,631.7972482489455,6.169358793704096,477.87958842845154
5,6.253407457351685,519.7809419573867,5.982516186537143,396.43662274148426
6,6.075199903488159,434.936439137883,5.829012033611001,340.0225821901709
7,5.915972946166992,370.9150075375526,5.726353532254339,306.8483133788269
8,5.785357860565186,325.4985023507862,5.633540299124347,279.6504132829454
9,5.675055717468262,291.5045799900335,5.56417948500125,260.91103444013754
10,5.579516662597657,264.94351772222086,5.5109838085974046,247.39439611676084
11,5.500163850784301,244.7320285140454,5.47017614455994,237.5020237663679
12,5.432077850341797,228.62379826574244,5.439312093700478,230.28371534282124
13,5.376807790756225,216.3305994857539,5.412348819778351,224.1574753426502
14,5.334199783325196,207.30679206430824,5.387534929035667,218.66369910892172
15,5.299293958663941,200.19541382745138,5.369573159703237,214.77117514455304
16,5.271974912643433,194.8002963757631,5.362812850289716,213.32415221977675
17,5.252387023925781,191.02169804529882,5.352626222050833,211.1621289460004
18,5.23944793510437,188.56597301100928,5.350360089147876,210.68414928500556
19,5.2315180988311765,187.07658880942066,5.346068889937715,209.7819986683862
20,5.227282888412476,186.2859555223666,5.346655488156987,209.90509251502624
