AVERAGE COMPLEXITY PER BIN COUNT RANGE
======================================================================

Bin Range Start      Bin Range End        Avg Complexity       Count     
270024.96            271671.41            0.00788546           2         
271671.41            273317.86            0.00422314           1         
273317.86            274964.31            0.00563250           1         
274964.31            276610.76            0.00563041           1         
276610.76            278257.22            0.00635774           1         
278257.22            279903.67            0.00635628           2         
279903.67            281550.12            0.00416458           1         
281550.12            283196.57            0.00635454           1         
283196.57            284843.02            0.00561214           1         
284843.02            286489.47            0.00560939           1         
286489.47            288135.92            0.00529014           2         
288135.92            289782.37            0.08609490           5         
289782.37            291428.82            0.00574979           1         
291428.82            293075.27            0.00416975           1         
293075.27            294721.73            0.10420730           4         
294721.73            296368.18            0.01344451           1         
296368.18            298014.63            0.01349792           1         
298014.63            299661.08            0.00748523           1         
299661.08            301307.53            0.00746478           1         
301307.53            302953.98            0.00651524           2         
302953.98            304600.43            0.00281042           1         
304600.43            306246.88            0.00277989           1         
306246.88            307893.33            0.00630592           1         
307893.33            309539.78            0.10430414           4         
309539.78            311186.24            0.10236447           2         
311186.24            312832.69            0.10233817           2         
312832.69            314479.14            0.00647334           1         
314479.14            316125.59            0.00655336           1         
316125.59            317772.04            0.00000000           6         
317772.04            319418.49            0.09824154           4         
319418.49            321064.94            0.09819391           4         
321064.94            322711.39            0.22428965           4         
322711.39            324357.84            0.00394109           1         
324357.84            326004.29            0.00656478           1         
326004.29            327650.75            0.00392747           1         
327650.75            329297.20            0.00646292           1         
329297.20            330943.65            0.00447438           1         
330943.65            332590.10            0.00445623           1         
332590.10            334236.55            0.09489557           1         
334236.55            335883.00            0.09497553           1         
335883.00            337529.45            0.09315088           1         
337529.45            339175.90            0.09241300           2         
339175.90            340822.35            0.09312753           1         
340822.35            342468.80            0.09234753           2         
342468.80            344115.26            0.09499120           1         
344115.26            345761.71            0.09573254           4         
345761.71            347408.16            0.09492485           1         
347408.16            349054.61            0.09318937           1         
349054.61            350701.06            0.09316697           1         
350701.06            352347.51            0.00672262           1         
352347.51            353993.96            0.00671777           1         
353993.96            355640.41            0.00682717           2         
355640.41            357286.86            0.00636337           1         
357286.86            358933.31            0.00631328           1         
358933.31            360579.76            0.00298636           1         
360579.76            362226.22            0.00297558           1         
362226.22            363872.67            0.00612238           1         
363872.67            365519.12            0.00281630           1         
365519.12            367165.57            0.00281051           1         
367165.57            368812.02            0.00578454           1         
368812.02            370458.47            0.00578314           1         
370458.47            372104.92            0.00631481           1         
372104.92            373751.37            0.00631487           1         
373751.37            375397.82            0.00636485           1         
375397.82            377044.27            0.00636460           1         
377044.27            378690.73            0.00573280           1         
