epoch,train_loss,train_ppl,val_loss,val_ppl
1,7.466255571365356,1748.0489711679463,6.916408784946282,1008.6910557812507
2,7.1100268573760985,1224.1804239242872,6.681815364974701,797.7660347896397
3,6.671426429748535,789.5209978629446,6.315754712841468,553.2194248807697
4,6.418912231445312,613.3355839705024,6.119946334747497,454.8402847258241
5,6.21885604095459,502.12848891477734,5.94963683568075,383.61399884420086
6,6.038879653930664,419.42287279680056,5.805971330083059,332.27778805668027
7,5.884089235305786,359.27540359017235,5.699580287362287,298.7419888622376
8,5.753803762435913,315.3880427525235,5.616652049561461,274.9672637197294
9,5.640269557952881,281.53859921615384,5.5471450668609075,256.5042072116501
10,5.545186491012573,256.0023159229262,5.492945544305676,242.97183816652213
11,5.466527088165283,236.6369448086716,5.4497225590094835,232.69359820883918
12,5.40040371131897,221.49581852565157,5.41585770738339,224.94540029106952
13,5.346072147369385,209.78268202002528,5.390223464851608,219.25237527951626
14,5.302647510528565,200.86790652008827,5.371449977052426,215.1746399085726
15,5.266037544250488,193.64712205119127,5.350922695890872,210.8027149578317
16,5.239930652618408,188.65701908173187,5.34084762470451,208.6895257395272
17,5.220009731292724,184.93598372811982,5.333843866793695,207.23302127882005
18,5.207846979141236,182.70027692906393,5.328656434727286,206.16079750741812
19,5.1997459087371825,181.22618803348652,5.327764850890565,205.97706978909787
20,5.195447080612182,180.44879992548533,5.32695573589759,205.81047805874425
